"Modell","Prior_Scale","Wohnlage","Trefferquote_Prozent"
"Gesamt_3Cat",0,"beste Lage",79.04
"Gesamt_3Cat",0,"durchschnittliche Lage",78.93
"Gesamt_3Cat",0,"gute Lage",76.33
"Gesamt_3Cat",5,"beste Lage",89.5
"Gesamt_3Cat",5,"durchschnittliche Lage",90.39
"Gesamt_3Cat",5,"gute Lage",87.34
"Gesamt_3Cat",10,"beste Lage",92.07
"Gesamt_3Cat",10,"durchschnittliche Lage",92.32
"Gesamt_3Cat",10,"gute Lage",89.63
"Gesamt_3Cat",20,"beste Lage",94.28
"Gesamt_3Cat",20,"durchschnittliche Lage",93.8
"Gesamt_3Cat",20,"gute Lage",91.83
"Gesamt_3Cat",30,"beste Lage",95.41
"Gesamt_3Cat",30,"durchschnittliche Lage",94.58
"Gesamt_3Cat",30,"gute Lage",92.87
"Gesamt_3Cat",50,"beste Lage",96.68
"Gesamt_3Cat",50,"durchschnittliche Lage",95.57
"Gesamt_3Cat",50,"gute Lage",94.1
"Gesamt_3Cat",70,"beste Lage",97.42
"Gesamt_3Cat",70,"durchschnittliche Lage",96.1
"Gesamt_3Cat",70,"gute Lage",94.75
"Gesamt_3Cat",100,"beste Lage",97.89
"Gesamt_3Cat",100,"durchschnittliche Lage",96.69
"Gesamt_3Cat",100,"gute Lage",95.29
"Gesamt_3Cat",200,"beste Lage",98.49
"Gesamt_3Cat",200,"durchschnittliche Lage",97.42
"Gesamt_3Cat",200,"gute Lage",96.29
"Gesamt_3Cat",1000,"beste Lage",99.1
"Gesamt_3Cat",1000,"durchschnittliche Lage",98.63
"Gesamt_3Cat",1000,"gute Lage",98.03
